Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9,Cycle10,Cycle11,Cycle12,Cycle13,Cycle14,Cycle15,Cycle16,Cycle17,Cycle18,Cycle19,Cycle20,Cycle21,Cycle22,Cycle23,Cycle24,Cycle25,Cycle26,Cycle27,Cycle28,Cycle29,Cycle30,Cycle31,Cycle32,Cycle33,Cycle34,Cycle35,Cycle36,Cycle37,Cycle38,Cycle39,Cycle40
27.5085,13.58755658,8.876900461,12.07142803,12.33828248,20.39632285,19.10599893,51.58794333,NaN,NaN,59.78978116,NaN,NaN,25.16673662,28.13626189,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.413213874,13.28662047,18.19516403,NaN,NaN,21.89704203,25.94627069,22.74234548,NaN,15.46568154,NaN,17.68173517,25.18684035
27.7189,13.8469549,9.006390595,12.97823809,12.51801512,20.52874738,18.95343765,52.39939092,NaN,NaN,59.95257544,NaN,NaN,25.26932358,28.67187002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.937054954,13.18475237,18.08139055,NaN,NaN,21.82015349,26.10826017,23.60406847,NaN,15.59280931,NaN,17.75927598,25.7449201
28.4774,14.59127718,9.091104141,13.61829334,12.45194175,20.3642841,19.04619188,53.22122989,NaN,NaN,60.28185903,NaN,NaN,25.49021479,29.08604783,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.06397136,13.00700469,18.20154093,NaN,NaN,21.43432487,26.50125684,24.66352612,NaN,15.98338222,NaN,17.97987684,26.36589834
30.7239,14.77610753,8.879092552,13.79610965,12.27357277,19.89605617,19.88768505,54.06191922,NaN,NaN,60.51069272,NaN,NaN,25.63341547,29.28597927,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.639756272,12.99091125,18.56925308,NaN,NaN,21.31278248,26.97221465,25.93000703,NaN,16.22330229,NaN,18.33031431,26.51038598
33.7138,14.45452817,8.790714079,13.66681054,12.70624645,19.48697993,20.80968948,54.64670595,NaN,NaN,60.50658491,NaN,NaN,25.84537467,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.402069439,12.76112734,18.68326907,NaN,NaN,21.33571479,27.23288671,27.2245115,NaN,16.3966976,NaN,18.46186021,26.73989673
35.8948,14.20518608,8.978788847,13.59747571,13.10993929,19.38728101,21.12703059,55.17962385,NaN,NaN,60.36149426,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.203135806,12.62317634,18.67813593,NaN,NaN,21.46364011,27.45524633,28.1670736,NaN,16.39432951,NaN,18.43039131,26.86514221
37.7757,14.64090781,9.067777512,13.74254158,12.90155998,19.33456867,21.03106753,NaN,NaN,NaN,60.05361989,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.290761947,12.79794552,18.89268377,NaN,NaN,21.54304782,27.54960034,28.51815527,NaN,16.14354363,NaN,18.47748769,27.4521915
38.5982,15.08294978,8.805805527,13.92217785,12.4074388,19.54801686,21.3055207,NaN,NaN,NaN,60.03991586,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.649697072,12.86551692,18.9937894,NaN,NaN,21.27255506,28.24430337,28.53081149,NaN,15.96239057,NaN,18.6839132,28.05254276
NaN,14.90198136,8.863509808,14.00010723,12.78279011,20.09992017,21.62662459,NaN,NaN,NaN,60.48617713,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.722820528,13.203819,18.85045123,NaN,NaN,21.25982479,28.98419321,29.21558718,NaN,16.23879723,NaN,18.91681632,28.47350772
NaN,14.10440585,8.957958695,14.05134274,13.62630287,20.64353481,21.49605751,NaN,NaN,NaN,60.78186875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.541318394,13.94606613,18.9703153,NaN,NaN,21.43126853,NaN,30.66329854,NaN,16.66901257,NaN,19.32580283,NaN
NaN,13.66372868,8.926211391,14.29945025,13.97848777,20.37992135,21.40016903,NaN,NaN,NaN,60.85298682,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.592619102,14.41963465,19.38465421,NaN,NaN,21.62468382,NaN,32.14493344,NaN,17.10710649,NaN,19.5370687,NaN
NaN,14.09552023,8.847298133,14.86725836,13.90660606,19.41422469,21.65376153,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.760785225,14.29267536,19.76484714,NaN,NaN,22.04678303,NaN,33.53145907,NaN,17.28810766,NaN,19.66028892,NaN
NaN,14.93647781,8.997730509,15.75517677,13.99191656,19.03744317,22.15727617,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.787525616,14.35149839,20.20909374,NaN,NaN,22.62879375,NaN,34.13837286,NaN,17.90444965,NaN,19.90851625,NaN
NaN,15.04733959,9.47289867,16.17884702,13.66083033,19.51482413,23.04020394,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.768861744,14.53913087,20.45279601,NaN,NaN,22.9,NaN,NaN,NaN,18.7915575,NaN,20.23494156,NaN
NaN,15.21566187,10.32695045,16.43089877,12.91698129,20.13052759,24.1550256,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.754977134,14.81125409,20.48231207,NaN,NaN,23.10651463,NaN,NaN,NaN,19.18748521,NaN,20.69475896,NaN
NaN,15.38126383,10.41527582,16.77735345,12.64050899,20.71461912,25.03619995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.676626362,15.10716373,20.06747074,NaN,NaN,23.09982314,NaN,NaN,NaN,19.6980557,NaN,21.22235729,NaN
NaN,15.47579637,10.15145331,17.32584487,13.02634441,21.16958702,26.7920377,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.656974645,15.59252761,19.58256391,NaN,NaN,23.14840738,NaN,NaN,NaN,21.12260067,NaN,21.92411164,NaN
