Cycle,TMP,Kb,Ki,Kc,Ks,y_pred,COD,TN,SS,del_TMP,del_TMP_accu,slope
28,9.8639317,2.97E-09,953.1446673,0.000539852,1.57E-08,9.515861489,112.7266667,52.898,209.5533333,-0.03168727,2.14942521,0.0219329103
28,9.95406049,1.43E-08,820.0060605,2.44E-09,3.43E-09,9.791003198,110.9466667,53.528,207.7733333,0.09012879,2.239554,0.0226217576
28,10.64269452,4.38E-09,944.965296,0.000517355,7.00E-08,9.634758216,109.5933333,52.444,204.44,0.68863403,2.92818803,0.0292818803
28,11.22599872,9.55E-09,13.36708612,5.00E-09,0.003717676,9.870103296,110.8466667,53.314,210.44,0.5833042,3.51149223,0.0347672498
28,11.26712213,1.15E-08,172.495167,1.46E-08,0.003097197,9.940991569,109.7466667,53.096,209.7733333,0.04112341,3.55261564,0.0348295651
28,11.15856047,6.74E-09,0.996454835,5.14E-10,0.004368767,10.11054984,108.3466667,51.614,204.8866667,-0.10856166,3.44405398,0.0334374173
28,11.14798678,2.23E-10,1097.892749,0.001492257,4.15E-09,10.0249501,107.92,51.098,205.7733333,-0.01057369,3.43348029,0.0330142336
28,11.51966667,1.84E-08,0,4.17E-06,0.003191278,10.33647471,109.3666667,51.672,209.7733333,0.37167989,3.80516018,0.0362396208
28,12.25870604,1.72E-08,418.7124202,1.16E-08,0.001964242,10.35196737,109.0866667,51.742,207.7733333,0.73903937,4.54419955,0.0428698071
28,12.72326303,1.95E-09,61.36141555,9.19E-11,0.005348146,10.6911744,109.4866667,50.9,208.66,0.46455699,5.00875654,0.0468108088
28,13.49067794,1.16E-08,2.667265522,8.22E-09,0.004799276,10.96711147,109.06,50.594,209.1066667,0.76741491,5.77617145,0.053483069
28,14.82293595,1.09E-08,2552.580597,7.76E-09,1.47E-08,11.60214551,108.4933333,49.146,210.66,1.33225801,7.10842946,0.0652149492
28,15.70159086,1.35E-08,752.0468803,2.88E-09,0.003050328,11.19199075,108.1933333,48.71,209.1066667,0.87865491,7.98708437,0.0726098579
28,16.26667564,2.21E-09,102.4750573,6.69E-09,0.006489295,11.9949221,106.56,48.432,207.3266667,0.56508478,8.55216915,0.0770465689
28,16.911441,1.20E-08,359.8223742,3.37E-09,0.005392707,12.19099707,107.7666667,48.88,212.44,0.64476536,9.19693451,0.0821154867
28,17.3505529,8.10E-09,696.2903167,9.62E-10,0.005749183,12.54466423,108.5333333,49.542,215.7733333,0.4391119,9.63604641,0.085274747
28,18.05776971,2.31E-09,603.3875294,1.34E-09,0.006963315,13.19356592,109.32,47.626,216.6666667,0.70721681,10.34326322,0.0907303791
28,18.9773764,1.70E-08,3832.328582,1.13E-08,4.69E-09,13.56016059,111.0933333,48.416,218.8933333,0.91960669,11.26286991,0.0979379992
28,19.34508333,6.00E-10,28.27308573,7.17E-09,0.008433347,14.97750746,111.3533333,47.858,215.34,0.36770693,11.63057684,0.100263593
28,20.07372395,4.20E-08,360.0078792,7.63E-09,0.002996225,14.50534744,109.8266667,47.584,209.12,0.72864062,12.35921746,0.105634337
28,21.5101059,5.74E-08,1481.554599,7.96E-09,1.31E-08,17.46258026,109.02,47.84,207.34,1.43638195,13.79559941,0.116911859
28,22.29315098,4.20E-08,5247.059677,4.69E-09,1.25E-08,17.44199452,108.7533333,47.832,206.6733333,0.78304508,14.57864449,0.122509618
28,22.81455264,1.22E-08,3153.310664,1.19E-08,0.007145048,16.41076777,104.9066667,47.61,198.6733333,0.52140166,15.10004615,0.125833718
28,22.96060512,5.57E-09,817.161848,8.56E-09,0.00904786,18.42030454,103.2266667,45.79,194.0066667,0.14605248,15.24609863,0.126000815
28,22.99040135,2.01E-09,1206.304933,1.33E-08,0.009476401,19.24634736,102.3333333,45.844,192.9,0.02979623,15.27589486,0.125212253
